Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
172,K3R002,Garden Route Dam ,Garden Route,33.964089999999999,22.514299999999999,WCo,16,Swart River @ Garden Route Dam,36,9.978999999999999,,9.978999999999999,9.978999999999999,9.978999999999999,9.952999999999999,,,9.978999999999999,9.978999999999999,,9.892,9.771000000000001,9.576,9.242000000000001,9.038,8.949,8.893000000000001,99.1,100,100,100,99.7,,,100,100,,99.1,97.9,96,92.6,90.6,89.7,89.1,90.5
173,K6R001,Roodefontein Dam ,Roodefontein,34.066670000000002,23.334379999999999,WCo,16,Piesang River@ Roodefontein Dam,28,1.99,,2.017,2.003,2.01,2.017,,,1.981,1.981,,1.968,1.968,1.952,1.924,1.902,1.899,1.883,101.3,101.3,100.7,101,101.3,,,99.5,99.5,,98.9,98.9,98.1,96.7,95.6,95.4,94.6,98.3
174,K9R001,Kromrivier Dam ,Kromrivier,34.000790000000002,24.492979999999999,EC,15,Krom River @ Kromrivier Dam,364,35.24,,35.409999999999997,35.360999999999997,35.167000000000002,34.973999999999997,,,33.942999999999998,33.588000000000001,,32.698999999999998,32.234999999999999,31.637,30.640999999999998,30.285,29.837,29.373000000000001,100.3,100.5,100.3,99.8,99.2,,,96.3,95.3,,92.8,91.5,89.8,87,85.9,84.7,83.4,52.5
175,K9R002,Impofu Dam ,Impofu,34.094990000000003,24.690380000000001,EC,15,Krom River @ Impofu Dam,844,105.76,,106.2,105.88,105.57,105.19,,,103.36,102.54,,101.36,100.69,100.07,98.912000000000006,98.972999999999999,98.123999999999995,97.581999999999994,100.2,100.4,100.1,99.8,99.5,,,97.7,97,,95.8,95.2,94.6,93.5,93.6,92.8,92.3,59.5
176,L3R001,Beervlei Dam ,Beervlei,33.076779999999999,23.49137,EC,15,Groot River @ Beervlei Dam,20580,85.778999999999996,Flood Control Dam for Gamtoos River Valley,0,0,0,0,,,0,0,,2.035,1.798,1.613,1.402,1.329,0.973,0.961,0,0,0,0,0,,,0,0,,2.4,2.1,1.9,1.6,1.5,1.1,1.1,0
177,L8R001,Kouga Dam ,Kouga,33.740580000000001,24.58755,EC,15,Kouga River @ Kouga Dam,3887,125.91,,126.41,125.85,124.78,123.72,,,117.87,115.82,,111.82,109.72,107.4,103.8,102.51,100.87,99.197999999999993,99.9,100.4,100,99.1,98.3,,,93.6,92,,88.8,87.1,85.3,82.4,81.400000000000006,80.099999999999994,78.8,71.099999999999994
178,L8R002,Haarlem Dam ,Haarlem,33.769739999999999,23.317769999999999,WCo,16,Groot River @ Haarlem Dam,29,4.603,,,4.625,4.652,4.614,,,4.378,4.273,,4.027,3.888,3.728,3.514,3.342,3.338,,100.7,,100.5,101.1,100.2,,,95.1,92.8,,87.5,84.5,81,76.3,72.599999999999994,72.5,,78.3
179,L9R001,Loerie Dam ,Loerie,33.865029999999997,25.038810000000002,EC,15,Loerie Spruit @ Loerie Dam,138,3.026,Balancing Dam,3.041,2.99,2.756,,,,1.704,1.687,,1.199,1.272,1.235,0.796,0.668,0.845,1.106,100.9,100.5,98.8,91.1,,,,56.3,55.8,,39.6,42,40.799999999999997,26.3,22.1,27.9,36.5,58.8
180,M1R001,Groendal Dam ,Groendal,33.690489999999997,25.26576,EC,15,Swartkops River @ Groendal Dam,264,11.638,,11.651999999999999,11.638,11.619,11.576000000000001,,,11.195,11.207000000000001,,10.978999999999999,10.885999999999999,10.787000000000001,10.653,10.491,10.465,10.36,100.2,100.1,100,99.8,99.5,,,96.2,96.3,,94.3,93.5,92.7,91.5,90.1,89.9,89,98.4
185,N1R001,Nqweba (V. Rynevelds)  ,"Nqweba (Van Ryneveldspas)",32.235259999999997,24.52853,EC,15,Sondags River @ Nqweba (V.Rynevelds),3667,44.718000000000004,,19.213999999999999,18.890999999999998,18.454999999999998,18.023,,,16.907,18.978999999999999,,19.254999999999999,18.954999999999998,18.599,18.109000000000002,18.954999999999998,17.562999999999999,17.288,43.8,43,42.2,41.3,40.299999999999997,,,37.799999999999997,42.4,,43.1,42.4,41.6,40.5,42.4,39.299999999999997,38.700000000000003,52.5
186,N2R001,Darlington Dam ,Darlington,33.206110000000002,25.147110000000001,EC,15,Sondags River @ Darlington Dam,16820,180.83,,52.645000000000003,48.527999999999999,44.213999999999999,37.978999999999999,,,24.689,22.826000000000001,,29.489000000000001,30.334,30.050999999999998,32.564,36.057000000000002,40.26,47.683,31.9,29.1,26.8,24.4,21,,,13.7,12.6,,16.3,16.8,16.600000000000001,18,19.899999999999999,22.3,26.4,35.200000000000003
191,Q1R001,Grassridge Dam ,Grassridge,31.767800000000001,25.466149999999999,EC,15,Groot Brak River @ Grassridge Dam,4326,46.19,Balancing Dam,10.95,11.215999999999999,10.818,11.76,,,17.379000000000001,19.271999999999998,,18.995000000000001,16.097000000000001,15.193,22.282,23.413,24.867000000000001,25.292000000000002,24.7,23.7,24.3,23.4,25.5,,,37.6,41.7,,41.1,34.799999999999997,32.9,48.2,50.7,53.8,54.8,34.1
193,Q4R002,Kommandodrift Dam ,"Kommando drift",32.108490000000003,26.042000000000002,EC,15,Tarka River @ Kommandodrift Dam,3623,55.87,,41.655999999999999,40.823999999999998,39.927,39.078000000000003,,,36.908000000000001,36.369,,37.222000000000001,37.624000000000002,36.866,36.545999999999999,35.954000000000001,36.411999999999999,36.731000000000002,75.8,74.599999999999994,73.099999999999994,71.5,69.900000000000006,,,66.099999999999994,65.099999999999994,,66.599999999999994,67.3,66,65.400000000000006,64.400000000000006,65.2,65.7,70.2
194,Q5R001,Elandsdrift Dam ,Elands Drift,32.530079999999998,25.756239999999998,EC,15,Great Fish River @ Elandsdrift Dam,16865,3.546,Balancing Dam,1.223,0.67,1.042,,,,0.59,1.167,,0.866,0.505,0.425,0.498,0.459,3.128,1.531,31.7,34.5,18.899999999999999,29.4,,,,16.600000000000001,32.9,,24.4,14.2,12,14.1,12.9,88.2,43.2,42.1
195,Q8R001,De Mistkraal Dam,De Mist Kraal,32.967089999999999,25.671430000000001,EC,15,Little Fish River @ De Mistkraal Dam,1868,2.053,Balancing Dam,1.583,1.433,1.661,0.938,,,1.642,1.488,,1.708,1.762,1.526,2.017,1.824,2.143,1.88,78,77.099999999999994,69.8,80.900000000000006,45.7,,,80,72.5,,83.2,85.8,74.3,98.2,88.8,104.3,91.6,56.4
,Q9L001,Glen Melville,Glen Melville,,,EC,,,,6.229,,,2.776,2.341,2.282,,,3.377,2.986,,5.69,6.009,5.69,6.13,6.054,5.926,6.16,,,44.6,37.6,36.6,,,54.2,47.9,,91.4,96.5,91.4,98.4,97.2,95.1,98.9,65.7
196,Q9R001,Katrivier Dam ,Katrivier,32.57197,26.758050000000001,EC,15,Kat River @ Katrivier Dam,265,24.681999999999999,,24.766999999999999,24.745000000000001,24.681999999999999,24.597000000000001,,,23.76,23.186,,23.247,23.268000000000001,23.146000000000001,23.308,23.207000000000001,24.449000000000002,24.724,100.5,100.3,100.3,100,99.7,,,96.3,93.9,,94.2,94.3,93.8,94.4,94,99.1,100.2,99.6
197,R1R001,Sandile Dam ,Sandile,32.71828,27.10585,EC,12,Keiskamma River @ Sandile Dam,353,29.655999999999999,,29.733000000000001,29.675000000000001,29.521999999999998,29.274000000000001,,,27.204000000000001,26.672000000000001,,25.803000000000001,25.7,25.291,25.376000000000001,25.172999999999998,26.584,27.545999999999999,100.5,100.3,100.1,99.5,98.7,,,91.7,89.9,,87,86.7,85.3,85.6,84.9,89.6,92.9,100.2
198,R1R003,Binfield Dam ,Binfield,32.69426,26.905519999999999,EC,12,Tyume River @ Binfield Dam,113,36.848999999999997,,36.848999999999997,36.848999999999997,36.848999999999997,36.771000000000001,,,36.509,36.378999999999998,,35.988999999999997,35.936999999999998,35.808,35.679000000000002,35.601999999999997,36.848999999999997,36.848999999999997,100,100,100,100,99.8,,,99.1,98.7,,97.7,97.5,97.2,96.8,96.6,100,100,99.6
200,R2R001,Laing Dam ,Laing,32.969009999999997,27.493259999999999,EC,12,Buffalo River @ Laing Dam,914,18.904,,19.068000000000001,18.986000000000001,18.966000000000001,18.945,,,18.803000000000001,18.681000000000001,,18.478999999999999,18.539000000000001,18.539000000000001,18.459,18.399000000000001,19.068000000000001,19.068000000000001,100.5,100.9,100.4,100.3,100.2,,,99.5,98.8,,97.8,98.1,98.1,97.6,97.3,100.9,100.9,100.9
201,R2R002,Rooikrantz Dam ,Rooikrantz,32.755270000000003,27.325890000000001,EC,12,Buffalo River @ Rooikrantz Dam,51,4.799,,4.829,4.829,4.799,4.791,,,4.602,4.692,,4.654,4.715,4.662,4.669,4.602,4.829,4.814,100.2,100.6,100.6,100,99.8,,,95.9,97.8,,97,98.2,97.1,97.3,95.9,100.6,100.3,100.2
202,R2R003,Bridle Drift Dam,Bridle Drift,32.989490000000004,27.730699999999999,EC,12,Buffalo River @ Bridle Drift Dam,1176,97.923000000000002,,96.343000000000004,95.594999999999999,95.149000000000001,94.26,,,91.481999999999999,90.472999999999999,,88.328000000000003,87.478999999999999,86.356999999999999,84.415999999999997,83.456000000000003,85.66,83.73,98.7,98.4,97.6,97.2,96.3,,,93.4,92.4,,90.2,89.3,88.2,86.2,85.2,87.5,85.5,79.400000000000006
203,R3R001,Nahoon Dam ,Nahoon,32.909669999999998,27.811240000000002,EC,12,Nahoon River @ Nahoon Dam,473,19.247,,17.286999999999999,17.135000000000002,16.751000000000001,16.456,,,15.452,15.095000000000001,,14.455,14.151999999999999,13.853,13.253,13.074999999999999,13.057,13.04,91.1,89.8,89,87,85.5,,,80.3,78.400000000000006,,75.099999999999994,73.5,72,68.900000000000006,67.900000000000006,67.8,67.7,62.2
204,S1L001,Macubeni Dam,Macubeni,,,EC,12,,,3.373,,2.715,2.663,2.624,2.617,,,2.489,2.546,,2.65,3.293,3.25,3.373,3.307,3.322,3.307,83.1,80.5,79,77.8,77.599999999999994,,,73.8,75.5,,78.599999999999994,97.6,96.4,100,98.1,98.5,98.1,100
205,S1R001,Xonxa Dam ,Xonxa,31.838039999999999,27.18168,EC,12,White Kei River @ Xonxa Dam,1450,115.86,,113.12,115.48,112.37,111.63,,,112,114.86,,115.99,116.25,115.86,115.86,115.86,116.25,116.38,97.8,97.6,99.7,97,96.4,,,96.7,99.1,,100.1,100.3,100,100,100,100.3,100.5,99.9
206,S2R001,Lubisi Dam ,Lubisi,31.795750000000002,27.430289999999999,EC,12,Indwe River @ Lubisi Dam,1300,158,,120.12,116.85,115.01,113.01,,,107.08,106.47,,107.86,107.08,105.7,105.53,105.1,105.1,105.44,76.400000000000006,76,74,72.8,71.5,,,67.8,67.400000000000006,,68.3,67.8,66.900000000000006,66.8,66.5,66.5,66.7,83.8
207,S2R002,Doornrivier Dam ,Doornrivier,31.512589999999999,27.334129999999998,EC,12,Doorn River @ Doornrivier Dam,295,17.099,,10.680999999999999,10.708,9.726000000000001,9.726000000000001,,,9.752000000000001,9.443,,9.909000000000001,9.83,9.701,9.935,9.83,9.882,9.856,62.5,62.5,62.6,56.9,56.9,,,57,55.2,,57.9,57.5,56.7,58.1,57.5,57.8,57.6,63.6
208,S3L001,Boesmanskrantz Dam,Boesmanskrantz,,,EC,12,,,4.818,,4.786,4.781,4.729,4.65,,,4.488,4.444,,4.538,4.379,4.319,4.158,4.169,4.201,4.212,99.8,99.3,99.2,98.2,96.5,,,93.2,92.2,,94.2,90.9,89.6,86.3,86.5,87.2,87.4,99.5
209,S3R001,Waterdown Dam ,Waterdown,32.28539,26.859169999999999,EC,12,Klipplaat River @ Waterdown Dam,602,37.441000000000003,,37.545999999999999,37.414000000000001,37.151000000000003,36.863,,,35.645000000000003,35.337000000000003,,34.625,34.322000000000003,33.945999999999998,33.521999999999998,33.746000000000002,35.927999999999997,34.195999999999998,100.4,100.3,99.9,99.2,98.5,,,95.2,94.4,,92.5,91.7,90.7,89.5,90.1,96,91.3,99.6
210,S3R003,Oxkraal Dam ,Oxkraal,32.205199999999998,26.7608,EC,12,Oskraal River @ Oxkraal Dam,391,14.829000000000001,,14.422000000000001,13.96,14.786,,,,9.676,9.35,,8.861000000000001,8.507999999999999,7.947,7.59,7.231,7.803,7.846,97.5,97.3,94.1,99.7,,,,65.2,63.1,,59.8,57.4,53.6,51.2,48.8,52.6,52.9,97.5
211,S5R001,Ncora Dam ,Ncora,31.786079999999998,27.677669999999999,EC,12,Tsomo River @ Ncora Dam,1173,147.28,,73.05,72.766999999999996,72.108000000000004,71.453000000000003,,,73.429000000000002,74.094999999999999,,97.206000000000003,102.01,102.23,109.75,107.52,108.22,111.29,49.7,49.6,49.4,49,48.5,,,49.9,50.3,,66,69.3,69.400000000000006,74.5,73,73.5,75.599999999999994,95.3
212,S5R002,Tsojana Dam,Tsojana,,,EC,12,,,12.272,,12.146000000000001,12.131,12.116,12.102,,,12.073,12.087,,12.272,12.272,12.262,12.272,12.233000000000001,12.272,12.272,99.1,99,98.8,98.7,98.6,,,98.4,98.5,,100,100,99.9,100,99.7,100,100,100
213,S6R001,Gubu Dam ,Gubu,32.609639999999999,27.278739999999999,EC,12,Gubu River @ Gubu Dam,23,8.504,,8.504,8.526,8.494,8.44,,,8.236000000000001,8.236000000000001,,8.131,8.131,8.077999999999999,8.141,8.119999999999999,8.472,8.548,99.9,100,100.3,99.9,99.2,,,96.8,96.8,,95.6,95.6,95,95.7,95.5,99.6,100.5,100.6
214,S6R002,Wriggleswade Dam ,Wriggleswade,32.578319999999998,27.558789999999998,EC,12,Kubisi River @ Wriggleswade Dam,447,91.471000000000004,,91.171000000000006,91.370999999999995,91.471000000000004,91.070999999999998,,,90.870999999999995,89.876999999999995,,89.481999999999999,89.977000000000004,89.778999999999996,90.373000000000005,90.274000000000001,92.772999999999996,91.671000000000006,99.7,99.7,99.9,100,99.6,,,99.3,98.3,,97.8,98.4,98.2,98.8,98.7,101.4,100.2,100.3
215,S7R001,Gcuwa Dam ,Gcuwa,32.319690000000001,28.134979999999999,EC,12,Gcuwa River @ Gcuwa Dam,712,0.601,,0.404,0.553,0.601,0.501,,,0.516,0.353,,0.516,0.406,0.242,0.601,0.588,0.601,,87.2,67.099999999999994,91.9,100,83.4,,,85.8,58.7,,85.8,67.400000000000006,40.200000000000003,100,97.7,100,,68.099999999999994
216,S7R002,Xilinxa Dam ,Xilinxa,32.142290000000003,28.09938,EC,12,Xilinxa River @ Xilinxa Dam,199,13.823,,6.181,5.707,5.645,5.569,,,4.931,4.633,,4.384,4.508,4.398,3.829,3.765,3.97,4.035,45,44.7,41.3,40.9,40.299999999999997,,,35.700000000000003,33.5,,31.7,32.6,31.8,27.7,27.2,28.7,29.2,70.599999999999994
217,S7R003,Toleni Dam,Toleni,31.551030000000001,28.741,EC,12,Mtata River @ Umtata Dam,886,0.177,,0.131,0.128,0.124,0.119,,,0.098,0.094,,0.081,0.079,0.073,0.081,,0.091,0.097,75.3,73.900000000000006,72.5,70.2,67.3,,,55.4,53.2,,45.9,44.9,41,45.9,,51.2,55.1,79.7
,T2R001,Umtata,Umtata,,,EC,,,,244.67,,,244.85,245.87,245.87,,,244.6,246.13,,246.63,247.65,246.38,246.13,245.62,247.65,247.4,,,100.1,100.5,100.5,,,100,100.6,,100.8,101.2,100.7,100.6,100.4,101.2,101.1,101.2
218,T2R002,Mabeleni Dam ,Umtata,31.446760000000001,28.562449999999998,EC,12,Mhlahlane River @ Mabeleni Dam,10,2.099,,243.33,2.083,2.078,2.083,,,2.046,2.067,,2.083,2.088,2.078,2.083,2.078,2.099,2.099,98.9,99.4,99.2,99,99.2,,,97.5,98.5,,99.2,99.5,99,99.2,99,100,100,100
220,T2R003,Corana Dam ,Corana,31.437449999999998,28.874210000000001,EC,12,Corana River @ Corana Dam,5.3,0.754,,2.083,0.182,0.176,0.167,,,0.143,0.14,,0.209,0.213,0.205,0.23,0.22,0.253,0.255,98,99.2,24.1,23.3,22.2,,,19,18.600000000000001,,27.8,28.3,27.2,30.5,29.2,33.6,33.9,43.9
221,T3R001,Belfort Dam,Belfort,,,EC,12,,,0.413,,0.158,0.154,0.149,0.145,,,0.132,0.128,,0.234,0.228,0.351,0.413,0.405,0.413,0.396,39.299999999999997,38.200000000000003,37.1,36.1,35,,,31.9,30.9,,56.5,55.2,85,100,98,100,95.8,100
222,T3R003,Ntenetyana Dam,Ntenetyana,,,EC,12,,,1.512,,0.723,0.715,0.693,0.677,,,0.643,0.634,,0.63,0.62,0.612,0.612,0.61,0.614,0.818,48.8,47.8,47.3,45.8,44.8,,,42.6,41.9,,41.7,41,40.5,40.5,40.299999999999997,40.6,54.1,100
223,T3R004,Nqadu Dam,Nqadu,,,EC,12,,,1.274,,0.672,0.672,0.674,0.674,,,0.644,0.637,,0.627,0.635,0.63,0.635,0.627,0.64,0.645,56.4,52.8,52.8,52.9,52.9,,,50.5,50,,49.2,49.9,49.5,49.9,49.2,50.2,50.6,70.900000000000006
225,T7R001,Mlanga Dam,Mlanga,,,EC,12,,,1.597,,0.247,0.23,0.212,0.202,,,0.166,0.162,,0.185,0.182,0.172,0.201,0.181,0.202,0.185,16.3,15.4,14.4,13.3,12.7,,,10.4,10.1,,11.6,11.4,10.7,12.6,11.3,12.7,11.6,45.5
226,U2R001,Midmar Dam ,Midmar,29.495090000000001,30.201450000000001,KN,11,Mgeni River @ Midmar Dam,928,235.42,,118.08,117,116.06,114.85,,,113.12,110.88,,110.22,110.88,109.57,108.92,107.88,108.53,108.79,50.9,50.2,49.7,49.3,48.8,,,48.1,47.1,,46.8,47.1,46.5,46.3,45.8,46.1,46.2,78.400000000000006
227,U2R002,Nagle Dam ,Nagle,29.59057,30.62743,KN,11,Mgeni River @ Nagle Dam,2535,23.236000000000001,,15.111000000000001,15.585000000000001,16.898,18.033000000000001,,,19.34,20.289000000000001,,19.164999999999999,19.295999999999999,18.859000000000002,17.606999999999999,17.294,18.119,20.109000000000002,60.5,65,67.099999999999994,72.7,77.599999999999994,,,83.2,87.3,,82.5,83,81.2,75.8,74.400000000000006,78,86.5,75.599999999999994
228,U2R003,Albert Falls Dam,Albert-Falls,29.431090000000001,30.425940000000001,KN,11,Mgeni River @ Albert Falls Dam,1653,288.14,,123.59,120.48,118.93,117.07,,,112.22,107.99,,107.99,107.51,107.99,106.86,104.92,103.79,101.89,44,42.9,41.8,41.3,40.6,,,38.9,37.5,,37.5,37.299999999999997,37.5,37.1,36.4,36,35.4,75
229,U2R004,Inanda Dam ,Inanda,29.708909999999999,30.867069999999998,KN,11,Mgeni River @ Inanda Dam,4079,237.4,,196.23,195.58,196.1,195.58,,,193,190.95,,191.72,190.32,188.54,187.78,186.14,186.27,190.57,83.6,82.7,82.4,82.6,82.4,,,81.3,80.400000000000006,,80.8,80.2,79.400000000000006,79.099999999999994,78.400000000000006,78.5,80.3,96
230,U3R001,Hazelmere Dam ,Hazelmere,29.598379999999999,31.042850000000001,KN,11,Mdloti River @ Hazelmere Dam,376,17.675999999999998,,4.395,4.395,5.047,5.468,,,5.476,5.757,,6.039,5.969,5.841,5.987,5.874,6.057,6.772,25.1,24.9,24.9,28.6,30.9,,,31,32.6,,34.200000000000003,33.799999999999997,33,33.9,33.200000000000003,34.299999999999997,38.299999999999997,45.2
235,V1R001,Spioenkop Dam ,Spioenkop,28.6813,29.517099999999999,KN,7,Tugela River @ Spioenkop Dam,2480,270.64,,154.44,152.33000000000001,151.6,150.76,,,149.72,151.07,,159.66,162.57,163,170.71,171.72,180.37,185.59,57.5,57.1,56.3,56,55.7,,,55.3,55.8,,59,60.1,60.2,63.1,63.5,66.599999999999994,68.599999999999994,100.3
236,V1R002,Driel Barrage ,Driel Barrage,28.763500000000001,29.29101,KN,7,Tugela River @ Driel Barrage,1656,8.694000000000001,Balancing Dam,7.984,,,7.984,,,8.548,8.895,,8.895,8.694000000000001,8.404,8.404,8.291,8.291,8.291,91.8,91.8,,,91.8,,,98.3,102.3,,102.3,100,96.7,96.7,95.4,95.4,95.4,99.2
237,V1R003,Woodstock Dam ,Woodstock,28.758710000000001,29.246310000000001,KN,7,Tugela River @ Woodstock Dam,1149,373.25,Balancing Dam,296.58999999999997,,,296.58999999999997,,,238.93,242.67,,264.79000000000002,275.70999999999998,276.44,,287.63,287.63,287.63,79.5,79.5,,,79.5,,,64,65,,70.900000000000006,73.900000000000006,74.099999999999994,,77.099999999999994,77.099999999999994,77.099999999999994,97
239,V2R001,Craigie Burn Dam,Craigie Burn,29.16329,30.287040000000001,KN,7,Mnyamvubu River @ Craigie Burn Dam,154,22.466000000000001,,14.398999999999999,14.058,14.042,14.35,,,14.074,13.881,,14.696,15.031000000000001,15.183999999999999,15.031000000000001,14.663,14.73,15.065,65.900000000000006,64.099999999999994,62.6,62.5,63.9,,,62.6,61.8,,65.400000000000006,66.900000000000006,67.599999999999994,66.900000000000006,65.3,65.599999999999994,67.099999999999994,100.3
240,V2R002,Mearns Dam ,Mearns,29.246829999999999,29.970590000000001,KN,7,Mooi River @ Mearns Dam,932,5.163,,2.979,3.071,2.819,2.734,,,3.504,4.053,,5.202,5.345,5.214,4.381,3.238,4.285,5.057,58.1,57.7,59.5,54.6,53,,,67.900000000000006,78.5,,100.8,103.5,101,84.9,62.7,83,97.9,106.4
241,V2R003,Spring Grove Dam,Spring Grove,29.319749999999999,29.964960000000001,KN,7,Mooi River @ Spring Grove Dam,339,139.19999999999999,,114.35,111.51,110.2,108.62,,,101.34,100.74,,109.27,113.4,114.35,118.04,118.04,119.9,121.4,83.9,82.1,80.099999999999994,79.2,78,,,72.8,72.400000000000006,,78.5,81.5,82.1,84.8,84.8,86.1,87.2,100.2
242,V3R001,Ntshingwayo Dam ,Ntshingwayo,27.953399999999998,29.948709999999998,KN,7,Ngagane River @ Ntshingwayo Dam,830,194.56,,111.56,111.09,109.91,108.05,,,102.95,104.8,,108.05,108.51,107.12,109.68,108.05,109.91,112.75,58.6,57.3,57.1,56.5,55.5,,,52.9,53.9,,55.5,55.8,55.1,56.4,55.5,56.5,57.9,83.5
244,V3R003,Zaaihoek Dam ,Zaaihoek,27.439350000000001,30.059560000000001,KN,7,Slang River @ Zaaihoek Dam,620,184.63,,121.48,119.9,117.98,117.98,,,111.25,110.73,,108.89,108.37,108.11,108.81,107.94,107.94,107.94,66.599999999999994,65.8,64.900000000000006,63.9,63.9,,,60.3,60,,59,58.7,58.6,58.9,58.5,58.5,58.5,90.5
245,V7R001,Wagendrift Dam ,Wagendrift,29.041989999999998,29.85294,KN,7,Boesmans River @ Wagendrift Dam,744,55.9,,42.393000000000001,42.393000000000001,40.713000000000001,40.299999999999997,,,38.868000000000002,39.316000000000003,,55.331000000000003,56.637999999999998,56.268000000000001,56.161999999999999,56.11,56.531999999999996,56.320999999999998,77.400000000000006,75.8,75.8,72.8,72.099999999999994,,,69.5,70.3,,99,101.3,100.7,100.5,100.4,101.1,100.8,100.8
246,W1R001,Goedertrouw Dam ,Goedertrouw,28.771429999999999,31.468730000000001,KN,6,Mhlatuze River @ Goedertrouw Dam,1279,301.26,,96.058000000000007,93.605000000000004,94.228999999999999,94.456000000000003,,,90.575000000000003,86.367999999999995,,81.628,82.296000000000006,79.694999999999993,75.394999999999996,72.899000000000001,71.489000000000004,70.766000000000005,32.5,31.9,31.1,31.3,31.4,,,30.1,28.7,,27.1,27.3,26.5,25,24.2,23.7,23.5,45.1
248,W2R001,Klipfontein Dam ,Klipfontein,27.838730000000002,30.815519999999999,KN,6,Wit Mfolozi River @ Klipfontein Dam,340,18.085999999999999,,4.062,3.835,4.04,3.899,,,3.465,3.678,,3.586,3.699,3.824,3.709,3.426,4.49,4.611,23.6,22.5,21.2,22.3,21.6,,,19.2,20.3,,19.8,20.399999999999999,21.1,20.5,18.899999999999999,24.8,25.5,66.3
249,W3R001,Hluhluwe Dam ,Hluhluwe,28.121749999999999,32.179519999999997,KN,6,Hluhluwe River @ Hluhluwe Dam,723,25.893000000000001,,7.16,6.95,6.739,6.557,,,5.86,5.517,,5.045,5.002,4.843,4.677,4.596,4.565,4.485,28.4,27.7,26.8,26,25.3,,,22.6,21.3,,19.5,19.3,18.7,18.100000000000001,17.7,17.600000000000001,17.3,51.4
250,W4R001,Pongolapoort Dam ,Pongolapoort,27.418759999999999,32.071199999999997,KN,6,Phongolo River @ Pongolapoort Dam,7814,2267.0700000000002,,1155.58,1155.58,1150.3800000000001,1145.19,,,1120.8900000000001,1119.17,,1096.1300000000001,1084.3399999999999,1075.1400000000001,1060.21,1046.9100000000001,1048.57,1053.55,51.5,51,51,50.7,50.5,,,49.4,49.4,,48.4,47.8,47.4,46.8,46.2,46.3,46.5,61.2
253,W5R001,Jericho Dam ,Jericho,26.65521,30.483840000000001,M,6,Mpama River @ Jericho Dam,218,59.273000000000003,,45.817,45.777000000000001,45.341999999999999,45.106000000000002,,,43.975999999999999,44.325000000000003,,44.792000000000002,44.597000000000001,44.48,44.87,44.636000000000003,46.295000000000002,47.753999999999998,77.8,77.3,77.2,76.5,76.099999999999994,,,74.2,74.8,,75.599999999999994,75.2,75,75.7,75.3,78.099999999999994,80.599999999999994,77
254,W5R002,Westoe Dam ,Westoe,26.50572,30.625610000000002,M,6,Usutu River @ Westoe Dam,531,60.094999999999999,,27.295000000000002,27.466000000000001,27.643000000000001,27.556999999999999,,,27.385999999999999,27.643000000000001,,27.9,27.856999999999999,27.771000000000001,29.045999999999999,29.045999999999999,31.067,32.298999999999999,45.9,45.9,46.1,46,45.9,,,45.6,46,,46.4,46.4,46.2,48.3,48.3,51.7,53.7,55.4
255,W5R003,Morgenstond Dam ,Morgenstond,26.71114,30.544139999999999,M,6,Ngwempisi River @ Morgenstond Dam,548,99.988,,54.084000000000003,54.427999999999997,54.595999999999997,54.39,,,53.911000000000001,54.459000000000003,,53.435000000000002,53.707000000000001,57.612000000000002,53.707000000000001,52.558999999999997,54.802999999999997,56.9,54.4,54,54.3,54.6,54.4,,,53.9,54.5,,53.4,53.7,57.6,53.7,52.6,54.8,56.9,83.4
256,W5R004,Heyshope Dam ,Heyshope,26.997530000000001,30.524840000000001,M,6,Assegaai River @ Heyshope Dam,1120,444.94,,394.89,396.75,394.43,392.12,,,386.63,389.82,,390.74,388.91,390.74,392.58,391.2,399.95,408.76,89.6,88.8,89.2,88.6,88.1,,,86.9,87.6,,87.8,87.4,87.8,88.2,87.9,89.9,91.9,100
257,X1R001,Nooitgedacht Dam ,Nooigedacht,25.94725,30.081189999999999,M,5,Komati River @ Nooitgedacht Dam,1585,78.343000000000004,,53.22,51.871000000000002,51.232999999999997,49.973999999999997,,,51.987000000000002,52.689,,51.695999999999998,51.06,50.600999999999999,51.06,50.543999999999997,52.689,54.594000000000001,70,67.900000000000006,66.2,65.400000000000006,63.8,,,66.400000000000006,67.3,,66,65.2,64.599999999999994,65.2,64.5,67.3,69.7,94.6
